date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2014-08-01,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-04,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-05,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-06,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-07,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-08,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-11,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-12,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-13,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-14,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-15,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-18,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-19,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-20,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-21,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-22,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-25,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-26,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-27,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-28,1.0,1.0,1.0,1.0,1.0,1.0
2014-08-29,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-01,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-02,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-03,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-04,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-05,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-09,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-10,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-11,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-12,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-15,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-16,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-17,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-18,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-19,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-22,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-23,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-24,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-25,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-26,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-29,1.0,1.0,1.0,1.0,1.0,1.0
2014-09-30,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-08,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-09,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-10,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-13,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-14,1.0,1.0,1.0,1.0,1.0,1.0
