date,nav,涨幅%,较本金盈亏
2023-09-06,684617.78,0.1431,84617.78
2023-09-07,680140.73,-0.6539,80140.73
2023-09-08,679270.95,-0.1279,79270.95
2023-09-11,681291.08,0.2974,81291.08
2023-09-12,680965.72,-0.0478,80965.72
2023-09-13,678803.75,-0.3175,78803.75
2023-09-14,677727.48,-0.1586,77727.48
2023-09-15,679297.08,0.2316,79297.08
2023-09-18,682544.49,0.4781,82544.49
2023-09-19,680295.27,-0.3295,80295.27
2023-09-20,678201.56,-0.3078,78201.56
2023-09-21,676582.97,-0.2387,76582.97
2023-09-22,680034.45,0.5101,80034.45
2023-09-25,678632.33,-0.2062,78632.33
2023-09-26,676383.71,-0.3313,76383.71
2023-09-27,676989.35,0.0895,76989.35
2023-09-28,680383.77,0.5014,80383.77
2023-10-09,675447.23,-0.7256,75447.23
2023-10-10,674841.8,-0.0896,74841.8
2023-10-11,673875.26,-0.1432,73875.26
2023-10-12,675737.02,0.2763,75737.02
2023-10-13,672498.53,-0.4793,72498.53
2023-10-16,672905.36,0.0605,72905.36
2023-10-17,672447.04,-0.0681,72447.04
2023-10-18,667079.51,-0.7982,67079.51
2023-10-19,664748.84,-0.3494,64748.84
2023-10-20,664321.79,-0.0642,64321.79
2023-10-23,657034.81,-1.0969,57034.81
2023-10-24,666831.89,1.4911,66831.89
2023-10-25,672704.3,0.8806,72704.3
2023-10-26,673060.97,0.053,73060.97
2023-10-27,677020.0,0.5882,77020.0
2023-10-30,680071.3,0.4507,80071.3
2023-10-31,680332.63,0.0384,80332.63
2023-11-01,682060.99,0.254,82060.99
2023-11-02,680547.71,-0.2219,80547.71
2023-11-03,681780.75,0.1812,81780.75
2023-11-06,686024.86,0.6225,86024.86
2023-11-07,687981.19,0.2852,87981.19
2023-11-08,688006.9,0.0037,88006.9
2023-11-09,686303.96,-0.2475,86303.96
2023-11-10,687312.16,0.1469,87312.16
2023-11-13,691168.24,0.561,91168.24
2023-11-14,691365.21,0.0285,91365.21
2023-11-15,692749.02,0.2002,92749.02
2023-11-16,691748.14,-0.1445,91748.14
2023-11-17,694604.37,0.4129,94604.37
2023-11-20,698376.92,0.5431,98376.92
2023-11-21,699212.82,0.1197,99212.82
2023-11-22,698908.72,-0.0435,98908.72
2023-11-23,701201.39,0.328,101201.39
2023-11-24,698875.26,-0.3317,98875.26
2023-11-27,697348.12,-0.2185,97348.12
2023-11-28,700230.64,0.4134,100230.64
2023-11-29,698713.35,-0.2167,98713.35
2023-11-30,697859.95,-0.1221,97859.95
2023-12-01,698978.54,0.1603,98978.54
2023-12-04,700814.25,0.2626,100814.25
2023-12-05,697124.78,-0.5265,97124.78
2023-12-06,700294.48,0.4547,100294.48
2023-12-07,699426.6,-0.1239,99426.6
2023-12-08,692972.65,-0.9227,92972.65
2023-12-11,696298.35,0.4799,96298.35
2023-12-12,700468.12,0.5988,100468.12
2023-12-13,701620.25,0.1645,101620.25
2023-12-14,704271.88,0.3779,104271.88
2023-12-15,704900.7,0.0893,104900.7
2023-12-18,700324.23,-0.6492,100324.23
2023-12-19,697641.2,-0.3831,97641.2
2023-12-20,694511.49,-0.4486,94511.49
2023-12-21,696552.86,0.2939,96552.86
2023-12-22,691146.78,-0.7761,91146.78
2023-12-25,687561.23,-0.5188,87561.23
2023-12-26,684818.7,-0.3989,84818.7
2023-12-27,686684.53,0.2725,86684.53
2023-12-28,691067.8,0.6383,91067.8
2023-12-29,695182.0,0.5953,95182.0
2024-01-02,698320.13,0.4514,98320.13
2024-01-03,698689.36,0.0529,98689.36
2024-01-04,698693.42,0.0006,98693.42
2024-01-05,695006.2,-0.5277,95006.2
2024-01-08,689902.79,-0.7343,89902.79
2024-01-09,693179.53,0.475,93179.53
2024-01-10,691804.8,-0.1983,91804.8
2024-01-11,695191.49,0.4895,95191.49
2024-01-12,693905.86,-0.1849,93905.86
2024-01-15,694966.71,0.1529,94966.71
2024-01-16,693530.13,-0.2067,93530.13
2024-01-17,687360.31,-0.8896,87360.31
2024-01-18,682213.42,-0.7488,82213.42
2024-01-19,679610.57,-0.3815,79610.57
2024-01-22,662016.1,-2.5889,62016.1
2024-01-23,660394.5,-0.2449,60394.5
2024-01-24,667581.23,1.0882,67581.23
2024-01-25,679517.3,1.788,79517.3
2024-01-26,683253.67,0.5499,83253.67
2024-01-29,673776.8,-1.387,73776.8
2024-01-30,664397.3,-1.3921,64397.3
2024-01-31,650290.06,-2.1233,50290.06
2024-02-01,640913.69,-1.4419,40913.69
2024-02-02,623689.52,-2.6874,23689.52
2024-02-05,593447.58,-4.8489,-6552.42
2024-02-06,584734.06,-1.4683,-15265.94
2024-02-07,570430.7,-2.4461,-29569.3
2024-02-08,588471.32,3.1626,-11528.68
2024-02-19,601918.04,2.285,1918.04
2024-02-20,607320.76,0.8976,7320.76
2024-02-21,616398.72,1.4948,16398.72
2024-02-22,623943.07,1.2239,23943.07
2024-02-23,634507.0,1.6931,34507.0
2024-02-26,641082.53,1.0363,41082.53
2024-02-27,650188.55,1.4204,50188.55
2024-02-28,625042.21,-3.8675,25042.21
2024-02-29,635775.18,1.7172,35775.18
2024-03-01,636504.38,0.1147,36504.38
2024-03-04,635309.8,-0.1877,35309.8
2024-03-05,627812.94,-1.18,27812.94
2024-03-06,633307.13,0.8751,33307.13
2024-03-07,635533.59,0.3516,35533.59
2024-03-08,637291.17,0.2766,37291.17
2024-03-11,644829.58,1.1829,44829.58
2024-03-12,651424.02,1.0227,51424.02
2024-03-13,651527.05,0.0158,51527.05
2024-03-14,651634.72,0.0165,51634.72
2024-03-15,658575.92,1.0652,58575.92
2024-03-18,665612.04,1.0684,65612.04
2024-03-19,667144.85,0.2303,67144.85
2024-03-20,673541.81,0.9589,73541.81
2024-03-21,676445.67,0.4311,76445.67
2024-03-22,670639.4,-0.8583,70639.4
2024-03-25,662374.47,-1.2324,62374.47
2024-03-26,663866.74,0.2253,63866.74
2024-03-27,654936.84,-1.3451,54936.84
2024-03-28,662403.74,1.1401,62403.74
2024-03-29,666928.5,0.6831,66928.5
2024-04-01,673997.2,1.0599,73997.2
2024-04-02,677566.68,0.5296,77566.68
2024-04-03,676854.42,-0.1051,76854.42
2024-04-08,668830.28,-1.1855,68830.28
2024-04-09,673928.94,0.7623,73928.94
2024-04-10,666414.38,-1.115,66414.38
2024-04-11,667287.1,0.131,67287.1
2024-04-12,664203.2,-0.4622,64203.2
2024-04-15,645305.1,-2.8452,45305.1
2024-04-16,620867.9,-3.7869,20867.9
2024-04-17,638495.37,2.8392,38495.37
2024-04-18,637527.92,-0.1515,37527.92
2024-04-19,635807.6,-0.2698,35807.6
2024-04-22,631377.1,-0.6968,31377.1
2024-04-23,634897.86,0.5576,34897.86
2024-04-24,640137.28,0.8252,40137.28
2024-04-25,643960.24,0.5972,43960.24
2024-04-26,646306.4,0.3643,46306.4
2024-04-29,657378.12,1.7131,57378.12
2024-04-30,656344.36,-0.1573,56344.36
2024-05-06,662565.36,0.9478,62565.36
2024-05-07,665111.47,0.3843,65111.47
2024-05-08,661253.38,-0.5801,61253.38
2024-05-09,666238.24,0.7539,66238.24
2024-05-10,663806.92,-0.3649,63806.92
2024-05-13,657248.15,-0.9881,57248.15
2024-05-14,661965.39,0.7177,61965.39
2024-05-15,661303.4,-0.1,61303.4
2024-05-16,666178.87,0.7373,66178.87
2024-05-17,671462.21,0.7931,71462.21
2024-05-20,669759.9,-0.2535,69759.9
2024-05-21,666332.53,-0.5117,66332.53
2024-05-22,667704.14,0.2058,67704.14
2024-05-23,657778.57,-1.4865,57778.57
2024-05-24,655879.47,-0.2887,55879.47
2024-05-27,656772.48,0.1362,56772.48
2024-05-28,652475.49,-0.6543,52475.49
2024-05-29,654138.26,0.2548,54138.26
2024-05-30,648562.57,-0.8524,48562.57
2024-05-31,649093.74,0.0819,49093.74
2024-06-03,636891.66,-1.8799,36891.66
2024-06-04,631453.16,-0.8539,31453.16
2024-06-05,622950.47,-1.3465,22950.47
2024-06-06,606009.67,-2.7194,6009.67
2024-06-07,618979.02,2.1401,18979.02
2024-06-11,617130.45,-0.2986,17130.45
2024-06-12,624409.66,1.1795,24409.66
2024-06-13,619656.13,-0.7613,19656.13
2024-06-14,621370.03,0.2766,21370.03
2024-06-17,616451.96,-0.7915,16451.96
2024-06-18,621767.42,0.8623,21767.42
2024-06-19,620548.77,-0.196,20548.77
2024-06-20,613486.9,-1.138,13486.9
2024-06-21,612976.02,-0.0833,12976.02
2024-06-24,599951.77,-2.1248,-48.23
2024-06-25,602437.75,0.4144,2437.75
2024-06-26,611457.37,1.4972,11457.37
2024-06-27,607078.69,-0.7161,7078.69
2024-06-28,606766.21,-0.0515,6766.21
2024-07-01,608974.07,0.3639,8974.07
2024-07-02,614539.49,0.9139,14539.49
2024-07-03,614129.67,-0.0667,14129.67
2024-07-04,601462.58,-2.0626,1462.58
2024-07-05,606646.77,0.8619,6646.77
2024-07-08,596199.71,-1.7221,-3800.29
2024-07-09,598232.41,0.3409,-1767.59
2024-07-10,592530.01,-0.9532,-7469.99
2024-07-11,605674.91,2.2184,5674.91
2024-07-12,606364.15,0.1138,6364.15
2024-07-15,600811.65,-0.9157,811.65
